Unnamed: 0,name,rows,cols,ub,link
84,Mobile Customer Churn Dataset,8550,33,7.06,https://www.kaggle.com/datasets/dyutidasmahaptra/mobile-customer-churn-dataset
568,Churn_Modelling,10000,14,7.06,https://www.kaggle.com/datasets/arjitdsce/churn-modelling
574,internet_customer,5517,11,7.06,https://www.kaggle.com/datasets/miftahuddinm/internet-customer
120,Retail Sales and Customer Behavior Analysis,1000000,78,7.06,https://www.kaggle.com/datasets/utkalk/large-retail-data-set-for-eda
414,Multitable Ecommerce European Fashion,7,7,7.06,https://www.kaggle.com/datasets/joycemara/european-fashion-store-multitable-dataset
351,PowerCo dataset,16100,32,7.06,https://www.kaggle.com/datasets/naiborhujosua/energy-industry
25,Bank Customer Churn Dataset,10000,12,7.06,https://www.kaggle.com/datasets/bhuviranga/customer-churn-data
32,Online Retail Customer Churn Dataset,1000,15,7.06,https://www.kaggle.com/datasets/hassaneskikri/online-retail-customer-churn-dataset
198,Telecom Churn Data,38,2,7.06,https://www.kaggle.com/datasets/hritikesinghrawat/telecom-churn-data
538,Quantium_Customer_Behavior_Analysis,72600,3,7.06,https://www.kaggle.com/datasets/muhammadmabdullah/quantium-customer-behavior-analysis
229,Telecom Churn Dataset,100000,226,7.06,https://www.kaggle.com/datasets/ezzzio/telecom-churn-data
458,Customer Information Dataset for Analysis,122,13,7.06,https://www.kaggle.com/datasets/salonimalpani/customer-information-dataset-for-analysis
214,Telco Customer Churn,7042,9,7.06,https://www.kaggle.com/datasets/syedumeerr/telco-customer-churn
212,Insurance Churn Prediction - Machine Hack,11300,16,7.06,https://www.kaggle.com/datasets/mukulsingh/insurance-churn-prediction
285,Credit Card Churn Prediction,10100,23,7.06,https://www.kaggle.com/datasets/anwarsan/credit-card-bank-churn
206,Tech Company Data (getlatka.com),527,47,7.06,https://www.kaggle.com/datasets/gjthompson1/tech-company-data-getlatkacom
218,Bank Turnover Dataset,10000,14,6.76,https://www.kaggle.com/datasets/barelydedicated/bank-customer-churn-modeling
309,Customer Churn Analysis Dataset,14600,26,6.47,https://www.kaggle.com/datasets/chayanroy3/customer-churn-analysis-dataset
290,Customer Churn Dataset - Banking Industry,10000,14,6.47,https://www.kaggle.com/datasets/abisheakjacob/customer-churn-dataset-banking-industry
291,UCI Bank Customer Churn Dataset,41200,21,6.47,https://www.kaggle.com/datasets/busradeveci/bank-churn
412,E-commerce Customer Engagement,9508,23,6.47,https://www.kaggle.com/datasets/noir1112/e-commerce-customer-engagement
413,Bank Dataset For Fairness,10000,15,6.47,https://www.kaggle.com/datasets/kushasahu/bank-dataset-for-fairness
254,Retail dataset,8047,17,6.47,https://www.kaggle.com/datasets/braniac2000/retail-dataset
356,Telecom Churn,230,6,6.47,https://www.kaggle.com/datasets/sarodeankur/telecom-churn
375,Customer_Churn_Prediction,10000,14,6.47,https://www.kaggle.com/datasets/moaazhammad/customer-churn-prediction
136,Practice Dataset Predict Customer Churn (Telecom),3333,11,6.47,https://www.kaggle.com/datasets/gaurangswarge/practice-dataset-predict-customer-churn-telecom
70,telecom churn (cell2cell),20000,58,6.47,https://www.kaggle.com/datasets/jpacse/datasets-for-churn-telecom
457,Telechurn,3333,21,6.47,https://www.kaggle.com/datasets/remonic97/telechurn
488,E COMMERCE DATASET,0,3,6.47,https://www.kaggle.com/datasets/codewithuday/amazon-smart-phone-products-data-2024
217,MembershipWoes,10400,15,6.47,https://www.kaggle.com/datasets/varshapandey/assignment-data
526,Customer Purchase Data,1500,9,6.47,https://www.kaggle.com/datasets/presheepresh/customer-purchase-data
162,Customer Churn Prediction,1000,9,6.47,https://www.kaggle.com/datasets/saivamsir/customer-churn
571,E-Commerce Customer Multiclass Classification Data,1000,9,6.47,https://www.kaggle.com/datasets/suryanshchourasiya/ecommerce-customer-dataset
80,Churn Bank Customers AK,10000,14,6.47,https://www.kaggle.com/datasets/akelsayed/churn-bank-customers-ak
159,Churn data,10000,14,6.47,https://www.kaggle.com/datasets/synful/churn-data
28,Customer Churn Prediction Dataset,300,21,6.47,https://www.kaggle.com/datasets/ahmedgaitani/customer-churn-prediction-dataset
633,Telecome Dataset for Churn Prediction,791000,70,6.47,https://www.kaggle.com/datasets/ma12492002/telecome-dataset-for-churn-prediction
98,Customer Churn & Segmentation Dataset (Synthetic),2000,9,6.47,https://www.kaggle.com/datasets/efeyldz/customer-churn-and-segmentation-dataset-synthetic
359,UrbanMart Transactions Dataset (2023-2024),50000,9,6.47,https://www.kaggle.com/datasets/xyzeys/urbanmart-transactions-dataset-2023-2024
255,Telecom Data,441000,12,6.47,https://www.kaggle.com/datasets/gandhimlengineer/telecom-data
260,Churn Classification,10000,14,6.47,https://www.kaggle.com/datasets/synful/churn-classification
430,Bank Churn Prediction,10000,14,6.47,https://www.kaggle.com/datasets/bonginstates/bank-churn-prediction
223,Telecom Churn Prediction,126,17,6.47,https://www.kaggle.com/datasets/sooryaprakash12/telecom-churn-prediction
529,Banking Churn Modelling,10000,14,6.47,https://www.kaggle.com/datasets/amithsompalli/banking-churn-modelling
137,Bank Customer Churn,158000,14,5.88,https://www.kaggle.com/datasets/cat-reloaded-data-science/bank-customer-churn
583,Data Info Purchases Customer,3,2,5.88,https://www.kaggle.com/datasets/sebastianq11/data-info-purchases-customer
127,Telecommunication Customer Churn Data,7043,21,5.88,https://www.kaggle.com/datasets/ebruiserisobay/telcods
243,Telecom Churn Case Study,38,2,5.88,https://www.kaggle.com/datasets/venkatasubramanian/telecom-churn-case-study
386,Telecom Customer Churn Prediction Dataset,7043,21,5.88,https://www.kaggle.com/datasets/sowmyakuruba/customer-churn-dataset
335,CHURN_DATASET,667,20,5.88,https://www.kaggle.com/datasets/sunchuabhishek/churn-dataset
385,Churn Prediction,7042,21,5.88,https://www.kaggle.com/datasets/mizan116/churn-prediction
213,Customer Churn Analysis Dataset,1000,11,5.88,https://www.kaggle.com/datasets/adityayadav01/customer-churn-analysis-dataset
34,Telco customer churn (11.1.3+),7043,33,5.88,https://www.kaggle.com/datasets/ylchang/telco-customer-churn-1113
543,PhoneNow Churn Dataset,7043,23,5.88,https://www.kaggle.com/datasets/ashwinjoseph05/phonenow-churn-dataset
58,Logisticregression telecomCustomer churmprediction,7042,9,5.88,https://www.kaggle.com/datasets/dileep070/logisticregression-telecomcustomer-churmprediction
569,Clustering-Bank Dataset,3070,2,5.88,https://www.kaggle.com/datasets/gopi1035/clusteringbank-dataset
541,Simulated Churn Data,1000,4,5.88,https://www.kaggle.com/datasets/adnanalaref/simulated-churn-data
157,telecom churn dataset,100000,226,5.88,https://www.kaggle.com/datasets/datajameson/telecom-churn-dataset
328,Telecom Churn Analysis Dataset,3333,21,5.88,https://www.kaggle.com/datasets/geetmukherjee/telecom-churn-analysis-dataset
51,Telco Customer Churn,7043,21,5.88,https://www.kaggle.com/datasets/mustafaoz158/telco-customer-churn
625,Electric Mobility Dataset,2499,18,5.88,https://www.kaggle.com/datasets/rakeshmeka/electric-mobility-dataset
31,Customer Churn,900,10,5.88,https://www.kaggle.com/datasets/hassanamin/customer-churn
146,telecom_Churn,7043,21,5.88,https://www.kaggle.com/datasets/ritikasaini/telecom-churn
350,Telecom Churn Predict,1000,9,5.88,https://www.kaggle.com/datasets/swarajkhan/telecom-churn-predict
287,churn-modelling-score,2000,17,5.88,https://www.kaggle.com/datasets/lavagod/churn-modelling-score
149,bank customers churn,17855,12,5.88,https://www.kaggle.com/datasets/lashkingl/bank-customers-churn
331,Customer Churn Prediction Dataset,1000,7,5.88,https://www.kaggle.com/datasets/ziya07/customer-churn-prediction-dataset
152,Telecommunications Industry Customer churn DB,2,2,5.88,https://www.kaggle.com/datasets/mezowahed/telecommunications-industry-customer-churn-db
222,Data for Analysis & Prediction,19900,12,5.88,https://www.kaggle.com/datasets/ayst13/flodata
461,RFM-Ecommerce-data,398000,20,5.88,https://www.kaggle.com/datasets/sharathshebbar/rfm-ecommerce-data
494,PwC Customer Retention Dashboard,7043,23,5.88,https://www.kaggle.com/datasets/rithikmurali/pwc-customer-retention-dashboard
531,Telecom Churn Dataset,6418,32,5.88,https://www.kaggle.com/datasets/nguyenduongthanhthuy/telecom-churn-dataset
185,TelecomChurnInsights 2022,7043,21,5.88,https://www.kaggle.com/datasets/ashirzaki/telecomchurninsights
525,E-Commerce Dataset,5630,20,5.88,https://www.kaggle.com/datasets/anaghapaul/e-commerce-dataset
203,Customer Churn Analysis of Kiwibank,10000,13,5.88,https://www.kaggle.com/datasets/smmmmmmmmmmmm/customer-churn-analysis-of-kiwibank
432,Amazon-Review,4915,12,5.88,https://www.kaggle.com/datasets/emreceliki/amazon-review
528,churnbank,10000,14,5.88,https://www.kaggle.com/datasets/dostonur/churnbank
289,Telecom Customer Churn,15043,21,5.29,https://www.kaggle.com/datasets/akimthaav/telecommunication-customer-churn
577,Customer Data for Telecommunication Analysis,1000,12,5.29,https://www.kaggle.com/datasets/bhavyajha04/telecust
340,Bank Churn Customer Prediction Dataset,9999,12,5.29,https://www.kaggle.com/datasets/ameenhasan/bank-churn-customer-prediction-dataset
336,Ghana Telecommunication Data 2023,1971,17,5.29,https://www.kaggle.com/datasets/freddiej/ghana-telecommunication-data-2023
547,telecom churn- new cell2cell dataset,71000,72,5.29,https://www.kaggle.com/datasets/jpacse/telecom-churn-new-cell2cell-dataset
556,customer_churn,505000,12,5.29,https://www.kaggle.com/datasets/saranimje/customer-churn
23,Customer Churn,3150,16,5.29,https://www.kaggle.com/datasets/royjafari/customer-churn
767,Churn_Modelling,10000,14,5.29,https://www.kaggle.com/datasets/jayapriyadatascience/churn-modelling
376,churndata,10000,14,5.29,https://www.kaggle.com/datasets/emregur/churndata
594,PowerCo's Customer DataSet,14600,26,5.29,https://www.kaggle.com/datasets/gatabhjsbaj/powercos-customer-company-dataset
